report_date,load_time,load_type,load_weight,dropoff_site
2021-01-01,2021-01-01T12:00:00Z,SWEEPING,,ONION CREEK
2021-01-01,2021-01-01T12:00:00Z,SWEEPING,,ONION CREEK
2021-01-01,2021-01-01T12:00:00Z,SWEEPING,,ONION CREEK
2021-01-01,2021-01-01T12:00:00Z,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02T09:24:00Z,TIRES,1640.0,MRF
2021-01-02,2021-01-02T11:47:00Z,TIRES,940.0,MRF
2021-01-02,2021-01-02T12:00:00Z,RECYCLING - SINGLE STREAM,320.0,TDS - MRF
2021-01-02,2021-01-02T09:02:00Z,RECYCLING - SINGLE STREAM,520.0,TDS - MRF
2021-01-02,2021-01-02T12:00:00Z,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02T12:00:00Z,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02T12:00:00Z,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02T05:44:00Z,YARD TRIMMING,17660.0,HORNSBY BEND
2021-01-02,2021-01-02T12:04:00Z,YARD TRIMMING,18220.0,HORNSBY BEND
2021-01-02,2021-01-02T05:45:00Z,YARD TRIMMING,7400.0,HORNSBY BEND
2021-01-02,2021-01-02T02:05:00Z,YARD TRIMMING,17880.0,HORNSBY BEND
2021-01-02,2021-01-02T01:02:00Z,YARD TRIMMING,17660.0,HORNSBY BEND
2021-01-02,2021-01-02T02:16:00Z,BULK,12480.0,TDS LANDFILL
2021-01-02,2021-01-02T12:25:00Z,BULK,10200.0,TDS LANDFILL
2021-01-02,2021-01-02T02:13:00Z,BULK,5440.0,TDS LANDFILL
2021-01-02,2021-01-02T04:27:00Z,DEAD ANIMAL,140.0,TDS LANDFILL
2021-01-02,2021-01-02T02:44:00Z,GARBAGE COLLECTIONS,24580.0,TDS LANDFILL
2021-01-02,2021-01-02T12:00:00Z,GARBAGE COLLECTIONS,13020.0,TDS LANDFILL
2021-01-02,2021-01-02T01:34:00Z,GARBAGE COLLECTIONS,17340.0,TDS LANDFILL
2021-01-02,2021-01-02T01:19:00Z,GARBAGE COLLECTIONS,19300.0,TDS LANDFILL
2021-01-02,2021-01-02T10:24:00Z,GARBAGE COLLECTIONS,22500.0,TDS LANDFILL
2021-01-02,2021-01-02T12:44:00Z,GARBAGE COLLECTIONS,15840.0,TDS LANDFILL
2021-01-02,2021-01-02T12:03:00Z,GARBAGE COLLECTIONS,24560.0,TDS LANDFILL
2021-01-02,2021-01-02T12:40:00Z,GARBAGE COLLECTIONS,17580.0,TDS LANDFILL
2021-01-02,2021-01-02T01:02:00Z,GARBAGE COLLECTIONS,8420.0,TDS LANDFILL
2021-01-02,2021-01-02T11:13:00Z,GARBAGE COLLECTIONS,12380.0,TDS LANDFILL
2021-01-02,2021-01-02T12:20:00Z,GARBAGE COLLECTIONS,8400.0,TDS LANDFILL
2021-01-02,2021-01-02T12:40:00Z,GARBAGE COLLECTIONS,19660.0,TDS LANDFILL
2021-01-02,2021-01-02T12:00:00Z,GARBAGE COLLECTIONS,11940.0,TDS LANDFILL
2021-01-02,2021-01-02T12:00:00Z,GARBAGE COLLECTIONS,12780.0,TDS LANDFILL
2021-01-02,2021-01-02T01:05:00Z,GARBAGE COLLECTIONS,9860.0,TDS LANDFILL
2021-01-02,2021-01-02T02:00:00Z,GARBAGE COLLECTIONS,10580.0,TDS LANDFILL
2021-01-02,2021-01-02T12:55:00Z,GARBAGE COLLECTIONS,21300.0,TDS LANDFILL
2021-01-02,2021-01-02T12:56:00Z,GARBAGE COLLECTIONS,17160.0,TDS LANDFILL
2021-01-02,2021-01-02T01:42:00Z,GARBAGE COLLECTIONS,15240.0,TDS LANDFILL
2021-01-02,2021-01-02T08:47:00Z,MIXED LITTER,4540.0,TDS LANDFILL
2021-01-02,2021-01-02T11:34:00Z,MIXED LITTER,6620.0,TDS LANDFILL
2021-01-02,2021-01-02T02:24:00Z,GARBAGE COLLECTIONS,20260.0,TDS LANDFILL
2021-01-02,2021-01-02T01:18:00Z,GARBAGE COLLECTIONS,21440.0,TDS LANDFILL
2021-01-02,2021-01-04T08:08:00Z,GARBAGE COLLECTIONS,25340.0,TDS LANDFILL
2021-01-02,2021-01-02T02:45:00Z,GARBAGE COLLECTIONS,17640.0,TDS LANDFILL
2021-01-02,2021-01-02T08:40:00Z,GARBAGE COLLECTIONS,22640.0,TDS LANDFILL
2021-01-02,2021-01-02T12:46:00Z,GARBAGE COLLECTIONS,11560.0,TDS LANDFILL
2021-01-02,2021-01-02T02:14:00Z,GARBAGE COLLECTIONS,15960.0,TDS LANDFILL
2021-01-02,2021-01-02T03:04:00Z,GARBAGE COLLECTIONS,26540.0,TDS LANDFILL
2021-01-02,2021-01-02T03:41:00Z,GARBAGE COLLECTIONS,24600.0,TDS LANDFILL
2021-01-02,2021-01-02T03:31:00Z,GARBAGE COLLECTIONS,31620.0,TDS LANDFILL
2021-01-02,2021-01-02T03:52:00Z,GARBAGE COLLECTIONS,21720.0,TDS LANDFILL
2021-01-02,2021-01-02T03:47:00Z,GARBAGE COLLECTIONS,24820.0,TDS LANDFILL
2021-01-02,2021-01-02T02:52:00Z,GARBAGE COLLECTIONS,25300.0,TDS LANDFILL
2021-01-02,2021-01-02T11:54:00Z,GARBAGE COLLECTIONS,9280.0,TDS LANDFILL
2021-01-02,2021-01-02T01:29:00Z,GARBAGE COLLECTIONS,23840.0,TDS LANDFILL
2021-01-02,2021-01-02T01:49:00Z,GARBAGE COLLECTIONS,23880.0,TDS LANDFILL
2021-01-02,2021-01-02T03:28:00Z,GARBAGE COLLECTIONS,28480.0,TDS LANDFILL
2021-01-02,2021-01-02T02:52:00Z,GARBAGE COLLECTIONS,27480.0,TDS LANDFILL
2021-01-02,2021-01-02T03:06:00Z,GARBAGE COLLECTIONS,21800.0,TDS LANDFILL
2021-01-02,2021-01-02T02:06:00Z,GARBAGE COLLECTIONS,9700.0,TDS LANDFILL
2021-01-02,2021-01-02T03:30:00Z,GARBAGE COLLECTIONS,21660.0,TDS LANDFILL
2021-01-02,2021-01-02T09:15:00Z,GARBAGE COLLECTIONS,11340.0,TDS LANDFILL
2021-01-02,2021-01-02T03:45:00Z,GARBAGE COLLECTIONS,21340.0,TDS LANDFILL
2021-01-02,2021-01-02T03:30:00Z,GARBAGE COLLECTIONS,6540.0,TDS LANDFILL
2021-01-02,2021-01-02T12:00:00Z,GARBAGE COLLECTIONS,18560.0,TDS LANDFILL
2021-01-02,2021-01-02T04:00:00Z,GARBAGE COLLECTIONS,19300.0,TDS LANDFILL
2021-01-02,2021-01-02T01:30:00Z,GARBAGE COLLECTIONS,17540.0,TDS LANDFILL
2021-01-02,2021-01-02T03:15:00Z,GARBAGE COLLECTIONS,9920.0,TDS LANDFILL
2021-01-02,2021-01-02T03:37:00Z,GARBAGE COLLECTIONS,23720.0,TDS LANDFILL
2021-01-02,2021-01-02T02:51:00Z,GARBAGE COLLECTIONS,23160.0,TDS LANDFILL
2021-01-02,2021-01-02T02:05:00Z,GARBAGE COLLECTIONS,25940.0,TDS LANDFILL
2021-01-02,2021-01-02T03:40:00Z,GARBAGE COLLECTIONS,21060.0,TDS LANDFILL
2021-01-02,2021-01-02T02:11:00Z,GARBAGE COLLECTIONS,3300.0,TDS LANDFILL
2021-01-02,2021-01-02T11:27:00Z,GARBAGE COLLECTIONS,10200.0,TDS LANDFILL
2021-01-02,2021-01-04T07:37:00Z,ORGANICS,15800.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T07:40:00Z,ORGANICS,20760.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T04:46:00Z,ORGANICS,14450.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T08:48:00Z,ORGANICS,5980.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T01:30:00Z,ORGANICS,19540.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:34:00Z,ORGANICS,13160.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T09:00:00Z,ORGANICS,15520.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T10:29:00Z,ORGANICS,20700.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T08:42:00Z,ORGANICS,16400.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T11:29:00Z,ORGANICS,17520.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:02:00Z,ORGANICS,16040.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T01:56:00Z,ORGANICS,7820.0,ORGANICS BY GOSH
2021-01-02,2021-01-05T09:19:00Z,ORGANICS,13800.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T10:26:00Z,ORGANICS,22120.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T03:25:00Z,ORGANICS,16800.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:20:00Z,ORGANICS,6200.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T06:56:00Z,ORGANICS,20680.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T01:11:00Z,ORGANICS,17320.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:24:00Z,ORGANICS,21440.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T11:08:00Z,ORGANICS,20560.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T02:59:00Z,ORGANICS,21940.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T11:54:00Z,ORGANICS,7680.0,ORGANICS BY GOSH
2021-01-02,2021-01-08T07:21:00Z,ORGANICS,7040.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:10:00Z,ORGANICS,22660.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:28:00Z,ORGANICS,7720.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T01:14:00Z,ORGANICS,7680.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:00:00Z,ORGANICS,20340.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:23:00Z,ORGANICS,15100.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T09:51:00Z,ORGANICS,16760.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:04:00Z,ORGANICS,8460.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T03:40:00Z,ORGANICS,21680.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T05:02:00Z,ORGANICS,6480.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T09:36:00Z,ORGANICS,11680.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T11:46:00Z,ORGANICS,13560.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T02:51:00Z,ORGANICS,9360.0,ORGANICS BY GOSH
2021-01-02,2021-01-04T07:57:00Z,ORGANICS,2700.0,ORGANICS BY GOSH
2021-01-02,2021-01-02T12:22:00Z,RECYCLING - SINGLE STREAM,8760.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:45:00Z,RECYCLING - SINGLE STREAM,8500.0,BALCONES RECYCLING
2021-01-02,2021-01-02T11:55:00Z,RECYCLING - SINGLE STREAM,5020.0,BALCONES RECYCLING
2021-01-02,2021-01-02T11:48:00Z,RECYCLING - SINGLE STREAM,4440.0,BALCONES RECYCLING
2021-01-02,2021-01-02T09:58:00Z,RECYCLING - SINGLE STREAM,8660.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:45:00Z,RECYCLING - SINGLE STREAM,6740.0,BALCONES RECYCLING
2021-01-02,2021-01-02T02:00:00Z,RECYCLING - SINGLE STREAM,10840.0,BALCONES RECYCLING
2021-01-02,2021-01-02T02:00:00Z,RECYCLING - SINGLE STREAM,6520.0,BALCONES RECYCLING
2021-01-02,2021-01-02T11:00:00Z,RECYCLING - SINGLE STREAM,10360.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:30:00Z,RECYCLING - SINGLE STREAM,18380.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:44:00Z,RECYCLING - SINGLE STREAM,8620.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:00:00Z,RECYCLING - SINGLE STREAM,9640.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:57:00Z,RECYCLING - SINGLE STREAM,20980.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:12:00Z,RECYCLING - SINGLE STREAM,13680.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:00:00Z,RECYCLING - SINGLE STREAM,17880.0,BALCONES RECYCLING
2021-01-02,2021-01-02T11:53:00Z,RECYCLING - SINGLE STREAM,18020.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:28:00Z,RECYCLING - SINGLE STREAM,4620.0,BALCONES RECYCLING
2021-01-02,2021-01-02T02:06:00Z,RECYCLING - SINGLE STREAM,6680.0,BALCONES RECYCLING
2021-01-02,2021-01-02T10:35:00Z,RECYCLING - SINGLE STREAM,16360.0,BALCONES RECYCLING
2021-01-02,2021-01-02T11:54:00Z,RECYCLING - SINGLE STREAM,12720.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:49:00Z,RECYCLING - SINGLE STREAM,16540.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:27:00Z,RECYCLING - SINGLE STREAM,10540.0,BALCONES RECYCLING
2021-01-02,2021-01-02T09:59:00Z,RECYCLING - SINGLE STREAM,12920.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:18:00Z,RECYCLING - SINGLE STREAM,4460.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:37:00Z,RECYCLING - SINGLE STREAM,6000.0,BALCONES RECYCLING
2021-01-02,2021-01-02T10:47:00Z,RECYCLING - SINGLE STREAM,13140.0,BALCONES RECYCLING
2021-01-02,2021-01-02T11:07:00Z,RECYCLING - SINGLE STREAM,12900.0,BALCONES RECYCLING
2021-01-02,2021-01-02T10:10:00Z,RECYCLING - SINGLE STREAM,12700.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:02:00Z,RECYCLING - SINGLE STREAM,8360.0,BALCONES RECYCLING
2021-01-02,2021-01-02T10:40:00Z,RECYCLING - SINGLE STREAM,13160.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:35:00Z,RECYCLING - SINGLE STREAM,2740.0,BALCONES RECYCLING
2021-01-02,2021-01-02T02:05:00Z,RECYCLING - SINGLE STREAM,4900.0,BALCONES RECYCLING
2021-01-02,2021-01-02T11:07:00Z,RECYCLING - SINGLE STREAM,12640.0,BALCONES RECYCLING
2021-01-02,2021-01-02T09:21:00Z,RECYCLING - SINGLE STREAM,10860.0,BALCONES RECYCLING
2021-01-02,2021-01-02T09:40:00Z,RECYCLING - SINGLE STREAM,12720.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:20:00Z,RECYCLING - SINGLE STREAM,7640.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:06:00Z,RECYCLING - SINGLE STREAM,9740.0,BALCONES RECYCLING
2021-01-02,2021-01-02T10:02:00Z,RECYCLING - SINGLE STREAM,15260.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:15:00Z,RECYCLING - SINGLE STREAM,5660.0,BALCONES RECYCLING
2021-01-02,2021-01-02T01:10:00Z,RECYCLING - SINGLE STREAM,16600.0,BALCONES RECYCLING
2021-01-02,2021-01-02T08:26:00Z,RECYCLING - SINGLE STREAM,12160.0,BALCONES RECYCLING
2021-01-02,2021-01-02T10:34:00Z,RECYCLING - SINGLE STREAM,12560.0,BALCONES RECYCLING
2021-01-02,2021-01-02T12:26:00Z,RECYCLING - SINGLE STREAM,6720.0,BALCONES RECYCLING
2021-01-02,2021-01-02T10:00:00Z,RECYCLING - SINGLE STREAM,10800.0,BALCONES RECYCLING
